MODE_OF_TRANSPORTATION,WEATHER,GEOPOLITICAL_RISKS,ROUTE_OPTIMIZATION,NO_OF_DELIVERED,CUSTUMER_RATING,EFFICIENCY,EFFICIENT,BEST OR NOT
2,1,0,1,9,6,54.91,0,0
1,4,0,3,9,4,55.71,0,0
2,1,1,8,62,3,227.81,1,1
2,1,0,1,2,10,48.09,0,0
1,3,1,1,98,2,312.72,1,0
2,4,0,9,77,6,287.46,1,1
3,2,1,6,82,2,280.71,1,0
3,2,0,1,46,10,183.09,1,0
3,1,0,5,69,7,252.88,1,0
3,2,1,6,68,3,242.01,1,0
2,1,0,9,96,5,338.23,1,1
3,1,0,5,9,10,82.42,1,0
2,2,1,6,98,4,335.08,1,0
2,4,1,3,2,6,45.28,0,0
2,1,0,3,73,6,254.23,1,0
2,2,0,8,87,3,301.88,1,1
1,1,1,9,1,6,56.24,0,0
2,1,1,5,30,3,122.11,1,0
1,2,1,1,48,5,171.45,1,0
3,3,0,10,13,4,90.14,1,0
3,3,1,4,97,10,349.62,1,0
1,2,1,8,61,4,228.27,1,1
1,1,0,4,19,1,75.16,1,0
3,2,0,1,99,7,332.41,1,0
1,4,1,3,31,8,138.91,1,0
3,1,0,8,90,1,303.88,1,1
1,1,0,8,31,6,141.38,1,0
3,1,1,4,77,10,287.2,1,0
2,1,1,3,69,3,233.85,1,0
2,2,1,10,37,8,177.26,1,0
1,4,0,8,58,8,233.11,1,0
2,2,0,3,45,7,174.26,1,0
2,4,1,3,97,2,317.86,1,0
2,2,0,3,75,7,264.86,1,0
3,1,0,9,60,10,248.52,1,0
2,1,1,1,28,4,107.57,1,0
1,4,0,3,86,10,309.73,1,0
1,4,1,6,65,5,239.91,1,0
3,2,1,8,76,1,265.05,1,1
1,4,0,2,16,3,70.25,1,0
2,1,0,4,10,5,63.41,0,0
2,4,1,5,27,7,130.4,1,0
1,2,1,3,62,10,237.67,1,0
2,2,1,9,93,3,325.46,1,1
3,4,1,3,87,7,306.67,1,0
2,4,0,3,34,9,150.22,1,0
2,1,0,9,87,7,318.21,1,1
3,1,0,8,18,2,90.02,1,0
1,4,0,7,75,2,259.95,1,1
2,2,0,10,29,10,157.82,1,0
1,2,0,5,38,10,168.79,1,0
3,1,1,7,71,7,267.4,1,1
3,2,0,5,9,8,76.27,1,0
2,1,1,10,81,1,284.07,1,1
3,3,0,7,1,5,48.42,0,0
3,2,0,2,81,7,281.07,1,0
1,2,0,5,1,6,42.73,0,0
3,1,1,8,50,2,189.1,1,0
3,1,1,5,39,9,171.88,1,0
1,2,1,1,47,10,186.33,1,0
3,4,0,4,84,8,301.77,1,0
3,4,1,8,29,5,139.45,1,0
3,4,0,1,97,4,317.65,1,0
1,3,0,9,11,4,78.86,1,0
3,4,0,5,48,1,171.01,1,0
2,1,1,4,63,1,211.59,1,0
3,3,0,7,90,4,313.62,1,1
1,4,1,7,66,10,263.85,1,1
1,1,0,8,23,10,131.54,1,0
2,4,1,1,81,3,267.08,1,0
1,4,1,4,22,10,121.91,1,0
1,3,1,5,51,5,193.6,1,0
2,4,0,3,75,8,270.46,1,0
2,1,0,4,60,9,228.73,1,0
1,1,0,7,12,9,91.72,1,0
3,1,1,2,42,7,164.72,1,0
3,1,0,9,51,1,189.12,1,0
1,1,0,10,85,8,317.66,1,1
2,4,0,8,14,8,101.34,1,0
3,2,1,5,86,9,314.83,1,0
1,3,1,5,74,9,277.38,1,0
1,3,0,3,94,3,307.82,1,0
3,4,0,10,24,5,127.95,1,0
2,2,1,3,7,4,51.2,0,0
2,1,0,8,31,9,153.23,1,0
3,2,0,4,63,8,236.33,1,0
3,1,1,6,24,7,122.44,1,0
3,3,1,2,24,4,101.64,1,0
2,1,1,7,88,1,296.15,1,1
3,4,1,5,80,1,270.09,1,0
3,1,1,3,72,2,240.44,1,0
3,2,0,8,7,10,86.45,1,0
3,4,0,3,25,5,109.83,1,0
1,1,1,3,2,4,33.98,0,0
2,1,1,8,6,7,73.01,1,0
2,4,0,6,20,10,120.58,1,0
1,4,0,2,59,1,192.95,1,0
3,4,1,1,1,6,37.33,0,0
2,4,1,2,31,6,129.84,1,0
2,1,0,9,44,10,199.09,1,0
3,1,1,5,75,5,266.28,1,0
3,2,0,8,65,1,229.39,1,1
1,1,0,5,86,3,287.68,1,0
1,4,0,10,47,9,209.51,1,0
2,3,1,4,41,5,161.49,1,0
3,3,0,2,69,9,253,1,0
3,3,0,1,55,10,211.28,1,0
1,2,0,8,61,1,215.09,1,1
2,4,0,4,52,5,193.28,1,0
2,3,1,4,14,9,94.27,1,0
3,1,0,10,52,7,216.64,1,0
1,3,1,7,13,3,77.72,1,0
2,4,1,8,86,6,314.06,1,1
2,3,1,3,38,10,167.31,1,0
3,3,1,9,28,2,127.7,1,0
1,4,1,3,11,10,85.67,1,0
3,4,1,5,31,5,136.43,1,0
3,2,1,3,32,10,149.29,1,0
2,1,0,8,54,5,208.37,1,0
1,3,0,7,57,4,211.74,1,0
3,3,1,7,78,1,269.08,1,1
3,2,0,7,63,6,238.23,1,1
2,2,1,4,87,7,306.56,1,0
2,2,0,1,91,10,317.88,1,0
1,1,0,6,37,2,139.14,1,0
2,1,1,2,8,4,50.19,0,0
1,4,1,2,49,3,172.35,1,0
3,4,0,4,15,10,100.55,1,0
2,2,1,10,84,8,319.2,1,1
2,3,0,1,30,3,109.61,1,0
1,4,1,7,30,10,155.13,1,0
3,1,0,6,42,1,152.88,1,0
3,4,0,6,74,5,266.87,1,0
2,4,0,4,29,10,141.72,1,0
3,4,0,10,74,5,278.95,1,1
1,4,0,3,62,5,219.35,1,0
2,2,1,2,2,5,36.66,0,0
1,2,1,4,37,2,136.55,1,0
2,3,0,6,34,6,147.53,1,0
3,1,1,9,12,6,91.68,1,0
1,1,0,6,14,4,76.84,1,0
2,1,1,7,95,5,331.61,1,1
1,1,0,4,48,3,169.9,1,0
2,4,0,4,52,1,178.96,1,0
1,4,0,9,62,1,223.15,1,1
2,4,1,2,85,4,285.76,1,0
2,4,1,2,34,2,124.58,1,0
2,1,0,10,11,7,91.71,1,0
1,1,0,4,46,1,156.7,1,0
2,1,0,4,12,3,62.29,0,0
3,4,1,9,10,3,77.93,1,0
3,1,0,9,15,2,83.98,1,0
1,1,0,9,82,9,309.16,1,1
2,2,1,1,83,6,281.84,1,0
1,1,0,4,27,10,131.54,1,0
2,4,0,8,39,6,169.68,1,0
2,1,0,9,96,6,341.81,1,1
1,2,0,8,40,8,176.73,1,0
1,1,0,10,39,9,182.32,1,0
2,4,1,2,95,5,319.54,1,0
1,1,1,10,79,1,276.92,1,1
1,4,0,10,83,10,321.81,1,1
2,4,0,3,93,7,321.24,1,0
3,4,0,5,30,4,127.39,1,0
1,1,1,8,73,6,270.66,1,1
1,3,0,5,10,10,85.24,1,0
3,3,0,6,43,6,175.82,1,0
3,3,1,6,49,9,207.12,1,0
1,3,1,8,5,7,70.9,1,0
1,4,1,6,18,5,97.97,1,0
3,1,0,9,78,8,295.72,1,1
1,4,1,3,99,4,329.95,1,0
1,2,1,3,9,10,77.61,1,0
1,3,1,10,27,4,132.64,1,0
3,3,1,3,25,7,118.42,1,0
2,2,0,8,33,5,145.96,1,0
3,3,1,7,26,3,119.2,1,0
1,2,1,2,89,5,298.29,1,0
1,2,0,10,42,10,195.97,1,0
1,3,1,4,92,1,300.08,1,0
3,2,0,5,17,5,89.69,1,0
2,4,0,3,73,10,271.58,1,0
2,4,1,8,73,5,271.22,1,1
1,2,1,5,63,3,221.67,1,0
2,3,1,7,20,8,117.87,1,0
2,4,1,4,43,7,175.7,1,0
1,2,1,3,76,5,262.05,1,0
2,1,0,9,9,1,61.17,0,0
2,4,0,8,67,10,268.56,1,1
2,2,0,5,36,8,156.7,1,0
1,1,1,7,3,5,52.66,0,0
3,4,1,9,45,10,208.69,1,0
3,3,1,3,39,9,167.86,1,0
3,3,1,1,81,8,285.08,1,0
1,4,1,6,69,9,266.31,1,0
3,4,0,9,55,6,222.13,1,0
1,1,0,10,9,8,88.14,1,0
1,2,0,4,37,9,159.17,1,0
2,4,0,6,70,9,268,1,0
1,2,1,3,37,9,158.59,1,0
3,1,0,2,40,6,152.66,1,0
3,4,0,4,43,3,160.05,1,0
1,1,1,10,78,7,295.38,1,1
3,1,1,3,76,10,281.16,1,0
1,2,0,7,66,9,255.81,1,1
3,3,0,3,47,9,189.58,1,0
2,3,1,9,1,1,41.47,0,0
2,1,0,6,66,5,238.57,1,0
1,1,0,10,82,1,283.54,1,1
1,3,1,2,64,4,220.22,1,0
2,1,0,5,94,3,312.95,1,0
2,4,1,2,83,8,294.04,1,0
3,3,0,1,87,7,297.18,1,0
1,3,1,4,54,1,185.32,1,0
1,1,1,9,32,7,153.44,1,0
2,4,0,9,49,3,192.16,1,0
1,1,1,2,34,2,120.44,1,0
1,3,1,7,77,6,281.74,1,1
3,1,0,1,12,8,72.24,1,0
3,2,0,7,95,5,331.29,1,1
2,1,0,8,24,7,124.93,1,0
1,2,1,3,38,7,154.45,1,0
3,3,1,8,34,6,157.12,1,0
3,4,0,2,6,1,35.11,0,0
1,2,0,9,23,9,131.99,1,0
2,3,0,4,57,3,200.21,1,0
2,3,0,6,44,4,170.57,1,0
2,4,1,5,55,5,207.8,1,0
1,2,1,5,34,4,137.67,1,0
2,3,1,10,56,5,224.91,1,0
3,3,1,1,26,9,122.56,1,0
2,3,1,5,50,10,209.59,1,0
3,1,1,10,39,3,165.5,1,0
2,4,1,9,33,2,142.7,1,0
1,2,1,4,77,7,275.25,1,0
2,2,0,10,99,9,365.64,1,1
3,3,1,8,30,7,148.62,1,0
1,3,0,5,61,2,210.62,1,0
2,1,0,1,18,1,64.19,0,0
2,3,1,10,34,2,147.73,1,0
3,3,1,5,51,8,206.56,1,0
3,3,0,6,9,9,83.88,1,0
3,1,1,1,83,6,281.94,1,0
2,1,0,8,76,7,281.97,1,1
3,4,0,1,2,4,30.75,0,0
2,2,0,5,51,5,191.26,1,0
3,3,0,10,95,2,330.62,1,1
1,2,0,4,7,2,43.51,0,0
3,4,1,7,1,2,41.13,0,0
3,1,1,7,51,3,192.68,1,0
3,3,0,1,89,10,313.96,1,0
1,2,0,7,54,2,194.51,1,0
1,2,0,8,63,7,242.61,1,1
3,3,1,10,6,1,60.7,0,0
1,2,0,1,68,10,247.31,1,0
3,4,1,2,28,10,136.21,1,0
3,1,0,1,89,10,311.94,1,0
2,3,1,6,74,4,263.61,1,0
3,1,0,5,93,5,318.2,1,0
1,3,0,9,54,8,223.04,1,0
2,1,0,6,64,7,239.69,1,0
3,4,1,4,91,6,318.19,1,0
3,2,1,3,93,5,315.61,1,0
1,2,1,1,44,3,152.21,1,0
1,1,1,1,83,2,265.4,1,0
3,2,0,2,26,2,97.07,1,0
2,2,1,9,56,4,217.3,1,0
3,2,1,5,99,6,343.35,1,0
1,3,0,9,94,9,347.42,1,1
2,3,1,5,97,3,326.47,1,0
3,1,1,5,89,1,294.24,1,0
2,4,1,10,89,3,318.42,1,1
2,3,1,2,55,4,194.15,1,0
3,1,1,4,67,8,249.84,1,0
3,2,0,7,16,5,92.71,1,0
3,3,0,7,36,6,157.7,1,0
1,1,1,2,61,1,198.4,1,0
2,1,1,10,3,6,66.41,0,0
1,4,1,8,84,6,306.91,1,1
2,2,1,5,13,5,78.94,1,0
3,3,1,8,47,5,192.8,1,0
3,1,1,4,93,2,306.88,1,0
1,1,0,9,62,3,227.28,1,1
3,3,1,9,16,7,109.36,1,0
1,1,0,8,10,4,70.8,1,0
3,1,0,5,98,9,347.62,1,0
2,1,1,5,22,8,115.85,1,0
3,2,1,6,32,2,129.71,1,0
2,4,0,8,87,7,318.22,1,1
3,3,1,7,89,2,305.88,1,1
2,4,0,9,93,3,325.04,1,1
1,2,0,2,4,2,28.41,0,0
1,3,1,2,7,4,48.08,0,0
2,3,1,2,56,3,193.59,1,0
3,2,1,9,45,10,206.67,1,0
3,1,1,5,46,7,185.86,1,0
3,2,0,4,76,5,264.85,1,0
2,4,1,9,11,6,90.58,1,0
3,1,0,6,41,7,171.34,1,0
3,1,1,10,99,7,361.02,1,1
3,1,1,8,7,3,62.82,0,0
2,3,0,8,37,7,166.21,1,0
2,1,1,10,44,4,183.07,1,0
1,4,0,3,24,8,115.33,1,0
3,1,1,6,19,3,93.02,1,0
2,3,0,2,26,4,104.13,1,0
1,2,1,3,67,10,252.77,1,0
1,4,1,9,77,7,292.37,1,1
2,2,0,8,100,7,355.46,1,1
1,2,0,9,95,5,335.11,1,1
1,2,1,9,88,10,334.31,1,1
3,1,1,7,29,2,122.66,1,0
3,3,1,2,54,7,202.98,1,0
3,3,1,2,66,5,232.06,1,0
1,1,0,1,15,4,64.76,0,0
3,3,0,3,9,9,74.82,1,0
3,4,1,8,67,6,257.79,1,1
3,2,0,8,35,4,149.53,1,0
2,4,0,1,44,4,156.48,1,0
3,1,0,7,41,9,181.52,1,0
2,4,0,8,99,9,361.62,1,1
2,4,0,8,41,10,190.04,1,0
3,2,1,10,93,7,343.91,1,1
1,3,1,6,47,2,173.8,1,0
1,3,0,9,26,1,113.42,1,0
2,2,1,5,90,8,322.22,1,0
3,2,1,2,79,7,277.47,1,0
2,1,0,3,86,5,289.91,1,0
1,2,1,1,96,6,319.99,1,0
1,2,0,2,97,6,323.59,1,0
1,3,0,2,58,7,210.4,1,0
2,1,0,10,22,4,114.19,1,0
2,2,1,10,7,6,79.5,1,0
2,3,0,8,35,6,156.59,1,0
3,3,0,8,17,3,92.6,1,0
2,1,1,1,98,3,315.39,1,0
1,2,1,10,82,4,297.73,1,1
2,2,0,9,28,5,133.88,1,0
2,4,0,4,68,7,248.76,1,0
2,4,0,3,72,7,257.82,1,0
1,2,1,2,5,8,55.35,0,0
2,1,1,3,84,1,271.99,1,0
1,3,0,2,54,7,198.32,1,0
1,4,0,3,18,6,90.05,1,0
1,1,0,5,5,1,35.9,0,0
2,1,0,8,42,4,168.55,1,0
2,2,0,3,97,3,316.98,1,0
3,2,0,9,81,6,298.63,1,1
3,1,1,9,78,5,287.42,1,1
2,2,0,5,77,7,276.94,1,0
3,3,1,10,52,6,217.52,1,0
3,2,0,4,81,1,265.63,1,0
3,4,1,5,5,9,72.23,1,0
3,1,0,9,42,2,165.52,1,0
3,1,1,5,53,3,192.68,1,0
2,4,1,1,47,8,182.3,1,0
2,1,0,7,54,1,191.03,1,0
2,4,0,1,93,8,318.78,1,0
1,1,1,5,77,5,270.1,1,0
1,1,0,3,34,2,121.02,1,0
2,3,0,3,47,10,192.05,1,0
3,4,0,4,29,10,142.83,1,0
3,2,0,10,29,6,144.61,1,0
3,4,0,9,25,4,124.37,1,0
3,3,1,4,53,10,216.74,1,0
1,4,1,7,55,7,219.89,1,0
3,1,1,1,70,1,224.78,1,0
3,1,0,9,100,5,351.42,1,1
2,2,0,3,51,2,174.48,1,0
3,1,0,8,21,5,109.82,1,0
2,1,0,4,20,7,100.77,1,0
1,4,1,7,86,9,320.67,1,1
1,3,0,5,61,10,239.26,1,0
1,3,1,2,60,2,200.98,1,0
3,4,0,3,61,2,207.81,1,0
2,1,0,10,5,3,59.27,0,0
2,3,1,6,34,4,142.81,1,0
3,1,0,8,46,1,171,1,0
3,2,1,7,71,5,261.25,1,1
3,3,0,8,86,5,308.14,1,1
2,4,0,1,54,4,186.68,1,0
1,3,1,7,60,8,237.56,1,0
3,3,0,7,24,4,114.3,1,0
1,2,0,4,97,4,322.47,1,0
3,3,0,6,88,9,322.46,1,0
2,1,1,10,44,6,190.23,1,0
2,4,1,2,56,8,212.5,1,0
2,1,1,8,36,1,142.13,1,0
3,3,1,1,87,2,281.72,1,0
1,3,1,7,17,1,82.64,1,0
1,2,0,8,24,9,131.99,1,0
1,1,0,7,38,1,141.6,1,0
1,3,0,9,88,4,311.4,1,1
1,3,0,6,18,7,101.68,1,0
2,3,0,4,59,2,202.67,1,0
2,3,0,3,8,3,49.21,0,0
1,2,1,4,49,10,201.43,1,0
2,2,0,6,57,4,208.82,1,0
3,3,0,4,13,3,68.44,0,0
3,1,1,8,84,8,313.26,1,1
3,2,1,1,11,9,76.25,1,0
1,1,1,2,98,9,338.78,1,0
2,2,1,4,56,7,212.94,1,0
1,1,0,6,14,1,66.1,0,0
3,3,0,6,67,2,233.98,1,0
1,1,1,9,36,4,154.78,1,0
3,1,1,9,98,8,358.56,1,1
2,3,0,6,60,5,222.47,1,0
1,3,1,2,11,5,63.74,0,0
2,4,1,9,72,5,271.22,1,1
3,4,1,3,46,7,182.85,1,0
1,4,1,6,62,4,227.27,1,0
2,1,0,1,61,3,201.21,1,0
1,3,1,1,70,5,238.9,1,0
3,4,1,10,26,9,150.75,1,0
3,4,0,9,69,10,278.73,1,1
3,4,1,3,44,2,158.91,1,0
2,1,1,4,56,3,197.61,1,0
2,2,1,8,97,4,338.1,1,1
2,3,1,2,89,4,296.83,1,0
3,4,0,4,25,2,102.11,1,0
2,1,0,1,60,9,219.67,1,0
2,3,1,1,87,2,280.61,1,0
2,4,1,7,34,4,146.84,1,0
2,4,0,9,17,8,113.42,1,0
3,1,0,4,60,1,201.2,1,0
2,4,1,7,17,9,113.4,1,0
2,4,0,5,87,7,309.16,1,0
2,2,1,1,2,1,19.32,0,0
2,1,0,1,17,6,79.07,1,0
2,1,0,8,7,4,62.85,0,0
2,2,0,4,87,3,289.8,1,0
3,3,0,10,70,7,273.02,1,1
1,3,0,8,43,9,190.38,1,0
3,1,1,10,28,8,150.18,1,0
1,4,1,2,50,4,178.95,1,0
2,2,0,4,94,6,321.68,1,0
2,1,1,8,48,5,192.69,1,0
2,3,1,7,21,6,113.73,1,0
1,2,0,9,96,2,327.39,1,1
1,1,0,8,11,1,63.08,0,0
2,3,1,1,94,7,319.65,1,0
2,1,1,2,62,5,216.85,1,0
2,3,0,2,96,9,333.43,1,0
1,1,0,3,88,8,305.58,1,0
3,3,0,2,20,3,83.54,1,0
2,1,1,10,91,4,325.01,1,1
1,1,0,10,59,3,221.24,1,0
2,1,1,4,26,10,132.07,1,0
2,2,0,1,73,10,263.52,1,0
1,4,0,10,51,9,221.59,1,0
1,2,1,4,92,9,327.71,1,0
3,4,1,2,93,6,318.19,1,0
3,2,1,4,17,2,78.37,1,0
3,1,1,6,78,2,267.62,1,0
2,3,0,1,58,9,215.65,1,0
3,2,0,7,13,8,94.39,1,0
2,4,1,7,68,3,245.94,1,1
2,2,1,7,58,4,217.3,1,0
2,1,1,5,86,10,316.29,1,0
2,3,0,2,98,6,328.73,1,0
3,2,0,9,40,5,171.23,1,0
2,3,1,8,33,1,135.09,1,0
1,3,1,7,3,4,51.1,0,0
2,3,1,5,83,5,291.35,1,0
2,2,1,6,67,3,237.88,1,0
2,1,1,2,16,9,92.25,1,0
1,1,1,5,85,6,297.84,1,0
1,2,1,5,32,5,135.21,1,0
3,2,0,2,66,4,225.03,1,0
2,1,1,9,7,4,68.31,0,0
2,1,1,6,64,10,252.87,1,0
2,4,1,4,16,4,83.42,1,0
1,4,1,6,65,5,239.91,1,0
2,1,0,7,59,4,216.87,1,0
3,1,1,2,83,3,274.22,1,0
3,4,0,8,67,6,255.35,1,1
2,3,0,8,5,3,55.25,0,0
2,1,0,8,97,7,345.39,1,1
2,1,1,10,89,8,333.29,1,1
3,1,1,8,1,5,51.86,0,0
2,4,1,10,37,4,164.96,1,0
2,3,1,1,42,7,162.61,1,0
2,1,0,9,55,5,214.41,1,0
3,4,0,2,35,4,133.43,1,0
1,1,1,2,48,10,191.36,1,0
2,2,1,4,12,6,76.48,1,0
1,1,0,2,86,2,275.04,1,0
2,2,0,4,58,2,198.64,1,0
2,2,1,7,4,10,75.7,1,0
1,2,1,5,95,9,339.79,1,0
1,1,1,6,18,2,84.2,1,0
1,4,0,5,42,6,168.57,1,0
3,4,0,6,13,4,79.07,1,0
1,2,1,9,62,4,234.31,1,1
2,3,0,5,13,10,95.41,1,0
1,3,0,9,33,6,152.46,1,0
3,2,0,4,35,4,137.45,1,0
1,1,1,9,24,8,132.86,1,0
2,2,0,3,5,4,42.72,0,0
2,1,1,1,81,6,274.79,1,0
3,3,0,5,41,7,170.34,1,0
3,2,0,4,42,4,158.59,1,0
1,3,1,10,70,5,266.08,1,1
3,2,0,3,95,6,322.79,1,0
3,2,0,8,1,8,61.17,0,0
2,4,1,3,43,7,172.68,1,0
2,2,0,5,42,2,153.34,1,0
3,1,0,7,29,3,123.8,1,0
2,4,0,3,96,6,326.72,1,0
3,4,0,10,57,5,227.61,1,0
2,4,1,8,22,2,106.46,1,0
2,1,1,1,55,3,185.53,1,0
3,2,1,6,17,10,113.05,1,0
3,4,0,8,11,1,68.33,0,0
2,4,0,10,27,7,143.06,1,0
2,1,0,3,28,8,125.49,1,0
1,2,0,8,7,5,66.33,0,0
2,3,0,4,80,8,287.57,1,0
3,1,0,9,37,8,171.9,1,0
3,1,0,4,57,2,195.72,1,0
1,1,0,7,25,1,102.34,1,0
2,1,0,8,60,1,212.17,1,0
2,4,0,10,50,3,198.2,1,0
1,3,0,8,63,10,254.36,1,1
3,1,1,1,65,10,241.9,1,0
1,4,1,4,45,8,184.21,1,0
2,4,0,7,19,5,102.68,1,0
2,1,0,1,53,7,191.37,1,0
3,1,0,7,76,2,262.16,1,1
3,3,0,2,45,1,151.88,1,0
3,2,1,10,93,9,351.07,1,1
3,2,0,2,32,4,122.35,1,0
1,2,1,2,70,8,251.65,1,0
3,3,0,1,24,1,85.44,1,0
2,4,0,6,51,5,196.3,1,0
3,3,1,10,19,9,128.6,1,0
3,4,1,8,2,4,54.33,0,0
2,4,0,7,61,2,218.78,1,1
2,2,0,6,72,3,250.54,1,0
3,2,0,1,21,9,104.01,1,0
2,4,0,9,48,3,189.14,1,0
3,2,0,5,57,2,199.75,1,0
1,4,1,7,37,5,158.37,1,0
1,2,1,4,37,1,132.97,1,0
1,2,1,9,29,9,152.55,1,0
3,2,0,1,53,8,197.07,1,0
1,2,0,10,25,7,133.89,1,0
2,1,0,1,40,7,152.11,1,0
3,4,0,3,57,10,224.37,1,0
3,3,1,7,93,5,328.7,1,1
2,4,1,5,83,9,306.68,1,0
2,1,0,3,100,10,350.09,1,0
3,4,0,6,71,7,264.97,1,0
2,4,1,2,20,9,107.36,1,0
2,2,1,7,47,6,191.24,1,0
2,2,0,10,86,6,315.64,1,1
2,3,1,9,8,5,76.93,1,0
1,2,1,4,56,9,218.99,1,0
1,3,0,5,77,8,280.42,1,0
3,3,1,2,19,7,97.28,1,0
3,4,1,6,48,6,194.37,1,0
2,2,1,8,76,2,267.52,1,1
3,1,0,5,63,10,245.5,1,0
3,1,0,3,52,4,184.76,1,0
3,3,0,10,89,9,337.56,1,1
3,1,1,3,1,7,43.92,0,0
3,1,0,7,74,1,252.54,1,1
3,3,0,5,49,9,201.66,1,0
3,2,1,4,97,3,323.55,1,0
2,3,0,5,18,4,89.03,1,0
1,4,1,6,27,5,125.15,1,0
2,4,1,4,57,9,225.14,1,0
3,4,0,3,20,2,83.99,1,0
3,2,0,6,33,7,148.19,1,0
1,1,0,3,53,5,189.14,1,0
1,3,0,6,98,6,339.7,1,0
3,2,0,8,89,7,323.35,1,1
3,2,1,3,46,1,159.35,1,0
2,1,1,5,46,10,195.49,1,0
2,2,1,7,59,4,220.32,1,0
1,3,0,4,98,5,330.08,1,0
3,4,0,8,62,9,250.99,1,1
1,1,1,7,86,1,289,1,1
1,2,1,2,81,9,288.45,1,0
1,1,0,5,78,8,281.42,1,0
2,3,0,3,73,8,263.41,1,0
2,4,1,5,74,2,254.44,1,0
3,3,0,4,71,9,265.08,1,0
2,3,0,3,81,10,294.73,1,0
3,1,0,4,45,2,159.48,1,0
3,2,0,1,50,2,166.53,1,0
2,1,1,2,60,8,221.55,1,0
3,3,0,7,95,9,346.62,1,1
1,3,0,4,93,1,300.66,1,0
3,4,0,9,4,1,50.21,0,0
3,3,0,3,78,5,268.88,1,0
2,3,0,1,69,5,234.55,1,0
3,2,1,3,10,2,54.21,0,0
2,2,0,6,90,9,326.38,1,0
3,1,0,2,47,10,188.12,1,0
3,1,0,1,34,2,117.2,1,0
2,1,0,3,96,6,323.69,1,0
2,3,0,4,16,10,101.45,1,0
1,3,1,3,53,8,204.34,1,0
1,1,0,7,7,2,51.56,0,0
2,4,0,10,43,4,180.64,1,0
1,4,1,8,25,7,132.31,1,0
3,1,0,10,92,4,326.7,1,1
3,4,0,4,100,1,325.03,1,0
2,1,0,4,23,6,106.25,1,0
3,4,0,6,23,1,98.53,1,0
1,3,1,5,73,9,274.36,1,0
3,4,0,3,9,7,68.67,0,0
1,4,1,9,58,7,234.99,1,0
1,1,0,6,50,9,203.46,1,0
3,1,0,3,48,7,183.42,1,0
1,1,0,3,32,3,118.56,1,0
1,3,0,7,42,5,170.02,1,0
2,3,1,6,20,4,100.53,1,0
3,1,0,4,80,6,279.5,1,0
2,1,0,10,9,9,92.83,1,0
3,1,0,7,9,3,63.4,0,0
2,3,1,1,95,3,308.35,1,0
2,4,0,9,91,5,326.16,1,1
3,4,0,7,98,6,345.95,1,1
2,2,1,6,92,5,320.54,1,0
1,4,1,5,52,5,197.63,1,0
2,3,0,6,70,8,263.41,1,0
2,1,0,4,48,1,163.85,1,0
3,1,0,8,12,3,75.48,1,0
2,4,0,9,78,10,304.8,1,1
2,1,0,9,57,9,234.77,1,0
2,3,1,6,67,5,246.05,1,0
3,3,1,9,91,6,332.28,1,1
1,3,1,4,74,7,267.2,1,0
3,3,1,8,79,2,278.7,1,1
1,3,0,8,46,4,181.54,1,0
1,1,1,1,44,5,158.36,1,0
1,2,1,5,79,7,284.31,1,0
3,3,1,8,21,10,132.18,1,0
2,2,1,4,52,10,211.6,1,0
1,3,1,7,84,8,310.04,1,1
2,4,1,1,69,8,248.74,1,0
3,3,0,6,19,7,106.92,1,0
1,1,0,8,91,4,315.42,1,1
1,3,0,1,39,10,160.74,1,0
2,4,0,9,48,6,199.88,1,0
2,1,0,4,61,4,213.85,1,0
1,1,1,1,57,3,190.46,1,0
1,1,1,9,16,5,97.96,1,0
3,1,1,7,55,8,222.66,1,0
3,2,1,4,67,4,236.53,1,0
3,4,0,4,77,9,284.21,1,0
3,4,0,9,67,9,269.11,1,1
3,4,1,5,83,5,293.47,1,0
2,3,0,6,59,8,230.19,1,0
3,3,1,2,94,7,323.78,1,0
2,2,0,7,47,2,174.48,1,0
2,3,1,4,36,7,153.55,1,0
3,4,0,3,63,4,221.01,1,0
2,2,1,3,5,6,52.32,0,0
1,3,1,2,30,8,131.86,1,0
2,3,1,7,5,4,58.25,0,0
1,1,1,3,32,1,113.84,1,0
1,2,1,2,14,3,64.63,0,0
2,2,0,10,57,10,242.38,1,0
2,3,0,10,3,6,65.99,0,0
2,4,0,10,34,6,160.62,1,0
1,4,1,2,47,1,159.15,1,0
3,3,0,6,36,1,136.78,1,0
3,2,1,7,19,9,118.53,1,0
3,3,1,8,40,9,185.98,1,0
2,2,1,2,23,10,117.98,1,0
2,2,1,10,73,7,282.4,1,1
3,1,0,5,44,7,177.38,1,0
3,2,1,2,48,9,191.01,1,0
2,2,1,10,87,3,310.36,1,1
2,2,1,1,95,7,321.66,1,0
3,2,1,5,16,4,85.53,1,0
3,2,1,2,82,6,282.95,1,0
2,1,0,6,75,10,283.65,1,0
2,4,0,6,93,4,319.56,1,0
1,3,0,7,31,1,122.48,1,0
2,4,0,3,98,9,343.5,1,0
2,4,1,1,29,8,127.94,1,0
2,2,0,2,79,7,273.92,1,0
2,2,1,9,39,5,169.54,1,0
1,4,1,3,71,7,256.13,1,0
2,1,1,6,45,10,195.49,1,0
3,2,1,8,25,9,139.67,1,0
3,2,1,6,31,10,155.33,1,0
3,1,0,2,68,3,226.48,1,0
3,2,0,10,41,4,173.69,1,0
3,3,0,5,57,2,200.76,1,0
